STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	2010	10	>= 225.0 m	-6.03636	1
BY15 GOTLANDSDJ	135404	2010	11	>= 225.0 m	-5.47536	1
BY15 GOTLANDSDJ	135404	2010	12	>= 225.0 m	-5.8344000000000005	1
BY15 GOTLANDSDJ	135404	2011	1	>= 225.0 m	-5.67732	1
BY15 GOTLANDSDJ	135404	2011	3	>= 225.0 m	-4.0167600000000006	1
BY15 GOTLANDSDJ	135404	2011	4	>= 225.0 m	-4.420680000000001	1
BY15 GOTLANDSDJ	135404	2011	6	>= 225.0 m	-5.8344000000000005	1
BY15 GOTLANDSDJ	135404	2011	7	>= 225.0 m	-6.081240000000001	1
BY15 GOTLANDSDJ	135404	2011	8	>= 225.0 m	-6.193440000000001	1
BY15 GOTLANDSDJ	135404	2011	9	>= 225.0 m	-6.148560000000001	1
BY15 GOTLANDSDJ	135404	2011	10	>= 225.0 m	-5.340720000000001	1
BY15 GOTLANDSDJ	135404	2011	11	>= 225.0 m	-5.8792800000000005	1
BY15 GOTLANDSDJ	135404	2011	12	>= 225.0 m	-5.13876	1
